tag,related,new_tag,tag_global,related_global
AMGP_1(tu-tit),"Biophony,Bird,Shorebird,Plover,AMGP",,AMGP,"Biophony,Bird,Shorebird,Plover"
AMGP_2(tuuut),"Biophony,Bird,Shorebird,Plover,AMGP",,AMGP,"Biophony,Bird,Shorebird,Plover"
AMGP_3(other),"Biophony,Bird,Shorebird,Plover,AMGP",,AMGP,"Biophony,Bird,Shorebird,Plover"
ARTE,"Biophony,Bird",,ARTE,"Biophony,Bird"
BASA,"Biophony,Bird,Shorebird,Sandpiper",,BASA,"Biophony,Bird,Shorebird,Sandpiper"
BBPL,"Biophony,Bird,Shorebird,Plover",,BBPL,"Biophony,Bird,Shorebird,Plover"
BBPL(tuuut),"Biophony,Bird,Shorebird,Plover,BBPL",,BBPL,"Biophony,Bird,Shorebird,Plover"
BRAN,"Biophony,Bird,Goose",,BRAN,"Biophony,Bird,Goose"
CAGO,"Biophony,Bird,Goose",,CANG,"Biophony,Bird,Goose"
CORA,"Biophony,Bird",,CORA,"Biophony,Bird"
DUNL,"Biophony,Bird,Shorebird,Sandpiper",,DUNL,"Biophony,Bird,Shorebird,Sandpiper"
DUNL(descending trill),"Biophony,Bird,Shorebird,Sandpiper,DUNL",,DUNL,"Biophony,Bird,Shorebird,Sandpiper"
DUNL(rising trill),"Biophony,Bird,Shorebird,Sandpiper,DUNL",,DUNL,"Biophony,Bird,Shorebird,Sandpiper"
DUNL(titutu),"Biophony,Bird,Shorebird,Sandpiper,DUNL",,DUNL,"Biophony,Bird,Shorebird,Sandpiper"
Duck,"Biophony,Bird",,Duck,"Biophony,Bird"
Duck Sp.,"Biophony,Bird",Duck,Duck,"Biophony,Bird"
GWFG,"Biophony,Bird,Goose",,GWFG,"Biophony,Bird,Goose"
Goose,"Biophony,Bird",,Goose,"Biophony,Bird"
Gull,"Biophony,Bird",,Gull,"Biophony,Bird"
HEGU,"Biophony,Bird,Gull",,HERG,"Biophony,Bird,Gull"
Human,Biophony,,Human,Anthropophony
Insect,Biophony,,Insect,Biophony
KIEI,"Biophony,Bird,Duck",,KIEI,"Biophony,Bird,Duck"
LALO,"Biophony,Bird,Passerine",,LALO,"Biophony,Bird,Passerine"
LALO(chirp),"Biophony,Bird,Passerine,LALO",,LALO,"Biophony,Bird,Passerine"
LALO(song),"Biophony,Bird,Passerine,LALO",,LALO,"Biophony,Bird,Passerine"
LALO(trill),"Biophony,Bird,Passerine,LALO",,LALO,"Biophony,Bird,Passerine"
LBDO,"Biophony,Bird,Shorebird",,LBDO,"Biophony,Bird,Shorebird"
LBDO(chirp),"Biophony,Bird,Shorebird,LBDO",,LBDO,"Biophony,Bird,Shorebird"
LBDO(song),"Biophony,Bird,Shorebird,LBDO",,LBDO,"Biophony,Bird,Shorebird"
LOON,"Biophony,Bird",,Loon,"Biophony,Bird"
LTDU,"Biophony,Bird,Duck",,LTDU,"Biophony,Bird,Duck"
LTDU(yodel),"Biophony,Bird,Duck,LTDU",,LTDU,"Biophony,Bird,Duck"
LTJA,"Biophony,Bird",,LTJA,"Biophony,Bird"
Motor,"Biophony,Human",,Motor,Anthropophony 
PALO,"Biophony,Bird,LOON",,PALO,"Biophony,Bird,Loon"
PESA,"Biophony,Bird,Shorebird,Sandpiper",,PESA,"Biophony,Bird,Shorebird,Sandpiper"
PESA(chip),"Biophony,Bird,Shorebird,Sandpiper,PESA",,PESA,"Biophony,Bird,Shorebird,Sandpiper"
PESA(hoohoohoo),"Biophony,Bird,Shorebird,Sandpiper,PESA",,PESA,"Biophony,Bird,Shorebird,Sandpiper"
PESA(trill),"Biophony,Bird,Shorebird,Sandpiper,PESA",,PESA,"Biophony,Bird,Shorebird,Sandpiper"
POJA,"Biophony,Bird",,POJA,"Biophony,Bird"
PUSA,"Biophony,Bird,Shorebird,Sandpiper",,PUSA,"Biophony,Bird,Shorebird,Sandpiper"
PUSA(kreeekreeekreee),"Biophony,Bird,Shorebird,Sandpiper,PUSA",,PUSA,"Biophony,Bird,Shorebird,Sandpiper"
PUSA(tututu),"Biophony,Bird,Shorebird,Sandpiper,PUSA",,PUSA,"Biophony,Bird,Shorebird,Sandpiper"
Passerine,"Biophony,Bird",,Passerine,"Biophony,Bird"
Passerine(chirp),"Biophony,Bird,Passerine",,Passerine,"Biophony,Bird"
Passerine(song),"Biophony,Bird,Passerine",,Passerine,"Biophony,Bird"
Plover,"Biophony,Bird,Shorebird",,Plover,"Biophony,Bird,Shorebird"
REPH,"Biophony,Bird,Shorebird",,REPH,"Biophony,Bird,Shorebird"
REPH(chirp),"Biophony,Bird,Shorebird,REPH",,REPH,"Biophony,Bird,Shorebird"
RTLO,"Biophony,Bird,LOON",,RTLO,"Biophony,Bird,Loon"
RTLO(duet),"Biophony,Bird,LOON,RTLO",,RTLO,"Biophony,Bird,Loon"
