class_type,tag
biotic,AMCR
biotic,AMGP_1(tu-tit)
biotic,AMGP_2(tuuut)
biotic,AMGP_3(other)
biotic,Aegcau_call
biotic,Alaarv_song
biotic,Animal
biotic,Anttri_song
biotic,BLJA
biotic,BRAN
biotic,Biophony
biotic,Bird
biotic,Butbut_call
biotic,CAGO
biotic,CEWA
biotic,CHSP
biotic,COYE
biotic,Carcan_call
biotic,Carcan_song
biotic,Carcar_call
biotic,Carcar_song
biotic,Cerbra_call
biotic,Cerbra_song
biotic,Cetcet_song
biotic,Chlchl_call
biotic,Cicatr_song
biotic,Cicorn_song
biotic,Cisjun_song
biotic,Colpal_song
biotic,Corcor_call
biotic,DUNL
biotic,DUNL(descending trill)
biotic,DUNL(rising trill)
biotic,Denmaj_call
biotic,Denmaj_drum
biotic,Embcir_call
biotic,Embcir_song
biotic,Erirub_call
biotic,Erirub_song
biotic,Fricoe_call
biotic,Fricoe_song
biotic,GBHE
biotic,Galcri_call
biotic,Galcri_song
biotic,Galthe_call
biotic,Galthe_song
biotic,Gargla_call
biotic,Goose
biotic,Gull
biotic,HEGU
biotic,HOFI
biotic,Hirrus_call
biotic,INBU
biotic,Insect
biotic,Jyntor_song
biotic,KIEI
biotic,LALO
biotic,LALO(chirp)
biotic,LALO(song)
biotic,LOON
biotic,LTDU
biotic,LTDU(yodel)
biotic,Lopcri_call
biotic,Loxcur_call
biotic,Lularb_song
biotic,Lusmeg_call
biotic,Lusmeg_song
biotic,Lyrple_song
biotic,MAWR
biotic,Motcin_call
biotic,Musstr_call
biotic,Oriori_call
biotic,Oriori_song
biotic,PESA(hoohoohoo)
biotic,PUSA
biotic,PUSA(kreeekreeekreee)
biotic,PUSA(tututu)
biotic,Parate_call
biotic,Parate_song
biotic,Parcae_call
biotic,Parcae_song
biotic,Parmaj_call
biotic,Parmaj_song
biotic,Pasdom_call
biotic,Passerine
biotic,Passerine(chirp)
biotic,Passerine(song)
biotic,Pelgra_call
biotic,Petpet_call
biotic,Petpet_song
biotic,Phofem_song
biotic,Phycol_call
biotic,Phycol_song
biotic,Picpic_call
biotic,Plaaff_song
biotic,Plasab_song
biotic,Plover
biotic,Poepal_call
biotic,Poepal_song
biotic,Prumod_song
biotic,Ptehey_song
biotic,Pyrpyr_call
biotic,REPH
biotic,REPH(chirp)
biotic,RTLO
biotic,RTLO(duet)
biotic,RUTU
biotic,Regign_call
biotic,Regign_song
biotic,SAGU
biotic,SAND
biotic,SAND(chirp)
biotic,SAND(trill)
biotic,SESA
biotic,SESA_2(motorboat)
biotic,SESA_3(titutu)
biotic,SNBU
biotic,SNBU(chirp)
biotic,SNBU(song)
biotic,SNGO
biotic,SOSP
biotic,Sandpiper
biotic,Serser_call
biotic,Serser_song
biotic,Shorebird
biotic,Shorebird(chirp)
biotic,Shorebird(song)
biotic,Siteur_call
biotic,Siteur_song
biotic,Strdec_song
biotic,Strtur_song
biotic,Stuvul_call
biotic,Sylatr_call
biotic,Sylatr_song
biotic,Sylcan_call
biotic,Sylcan_song
biotic,Sylmel_call
biotic,Sylmel_song
biotic,Sylund_call
biotic,Sylund_song
biotic,TUSW
biotic,Tetpyg_song
biotic,Tibtom_song
biotic,Trotro_song
biotic,Turmer_call
biotic,Turmer_song
biotic,Turphi_call
biotic,Turphi_song
biotic,UNKN
biotic,WRSA
biotic,WRSA_1(boingboingboing)
biotic,Wing Beats
biotic,YEWA
biotic,amphibian
biotic,animal
biotic,bat
biotic,bird
biotic,dunl(titutu)
biotic,btgo(chirp)
